rawfile,character/c_zom_cyborg_4.gsc
xmodel,c_zom_garbageman_body_yel
xmodel,c_zom_garbageman_head
xmodel,c_zom_garbageman_body_upclean
xmodel,c_zom_garbageman_body_rarmoff_1
xmodel,c_zom_garbageman_body_larmoff_1
xmodel,c_zom_garbageman_body_behead
xmodel,c_zom_garbageman_body_lowclean
xmodel,c_zom_garbageman_body_rlegoff_1
xmodel,c_zom_garbageman_body_llegoff_1
xmodel,c_zom_garbageman_body_legsoff_1
xmodel,c_zom_garbageman_body_rarmspawn
xmodel,c_zom_garbageman_body_larmspawn
xmodel,c_zom_garbageman_body_rlegspawn
xmodel,c_zom_garbageman_body_llegspawn
rawfile,character/clientscripts/c_zom_cyborg_4.csc
